fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
A0A,26102,19750,18155,375,320,495,260,5,25,120,67000
A0B,13265,9100,8625,80,100,65,145,0,10,75,60400
A0C,8069,5610,5240,55,70,75,130,0,10,25,55200
A0E,12623,9740,8785,140,260,265,205,0,15,70,60000
A0G,21177,14990,13935,365,190,130,235,0,20,115,57600
A0H,10841,7605,6735,255,315,115,105,0,10,70,58800
A0J,4696,3430,2980,60,185,75,90,0,5,30,58400
A0K,14914,11015,10300,125,150,100,205,0,20,115,66500
A0L,3871,3260,2995,20,85,135,20,0,0,5,73000
A0M,2958,2540,2290,40,0,75,120,0,15,0,63200
A0N,7581,5980,5660,70,45,60,65,5,10,60,49200
A0P,5176,4660,3380,570,385,155,140,0,10,25,99000
A0R,1401,1060,615,80,215,0,90,0,0,55,155000
A1A,13520,12670,6955,360,815,2765,1555,200,10,5,88000
A1B,10326,9075,3055,695,820,3195,1180,120,15,0,70000
A1C,7562,6640,1560,585,1825,740,1860,20,50,5,59200
A1E,14123,12835,4455,885,1440,4045,1775,195,35,0,66000
A1G,2741,2545,1235,120,155,880,150,0,5,5,79000
A1H,2530,2440,1440,285,30,665,0,0,0,15,132000
A1K,4968,4670,3955,55,25,585,40,10,0,5,111000
A1L,9332,8815,5780,125,65,2775,65,0,5,0,111000
A1M,3354,3165,2765,35,5,335,20,0,0,5,114000
A1N,10686,9930,4505,740,925,3415,335,0,10,0,81000
A1S,2557,2435,1740,60,30,495,20,0,5,85,89000
A1V,5429,5075,3350,345,285,470,595,15,0,5,80000
A1W,4668,4435,3325,30,50,970,50,0,5,0,100000
A1X,6676,6260,4850,95,55,1120,125,0,15,5,90000
A1Y,2745,2430,2110,55,85,25,150,0,5,0,58000
A2A,4406,4095,2575,220,440,435,405,0,15,0,71000
A2B,2293,2100,1440,150,100,315,95,0,0,0,56000
A2H,12658,11325,7635,430,350,1805,1030,5,60,15,68000
A2N,4349,4055,2540,435,500,50,340,130,10,45,54800
A2V,3387,3090,1570,515,335,15,310,95,0,245,147000
A5A,4161,3575,2545,105,75,580,240,5,0,20,70000
A8A,4039,2865,2340,145,50,75,185,0,5,60,62000
B0C,1808,1235,1075,10,0,10,10,0,10,120,68000
B0E,14977,11615,9945,170,10,155,620,0,20,695,62800
